,Enero 2020,Febrero 2020,Marzo 2020,Abril 2020,Mayo 2020,Junio 2020,Julio 2020,Agosto 2020,Septiembre 2020,Octubre 2020,Noviembre 2020,Diciembre 2020,Enero 2020,Febrero 2020,Marzo 2020
AMD,21.36,21.39,21.15,22.0,22.45,23.55,23.73,24.91,25.75,25.79,26.51,25.0,27.99,28.51,28.97
INTEL,78.64,78.61,78.85,78.0,77.55,76.45,76.27,75.09,74.25,74.21,73.49,75.0,72.01,71.49,71.03
